time (s), velocity (ms^-1), altitude (m)
11.299999999987003,676.1568544190475,3657.6248115998046
11.39999999998677,682.914112900075,3725.5785861352642
11.499999999986537,689.6847658339804,3794.2087570580125
11.599999999986304,696.4687953165137,3863.516662921996
11.69999999998607,703.2661828677625,3933.5036404619937
11.799999999985838,710.0769094264557,4004.171024535713
11.899999999985605,716.9009553442442,4075.5201480654227
11.999999999985372,723.738300379935,4147.552341978924
12.099999999985139,730.5889236937052,4220.26893514999
12.199999999984906,737.452803841266,4293.671254338209
12.299999999984673,744.329918768007,4367.760624128213
12.39999999998444,751.2202458030921,4442.538366868426
12.499999999984206,758.1237616535351,4518.005802609079
12.599999999983973,765.0404423982359,4594.164249039684
12.69999999998374,771.9702634819785,4671.015021426031
12.799999999983507,778.9131997093998,4748.559432546341
12.899999999983274,785.8692252389274,4826.798792627033
12.999999999983041,792.838313576675,4905.734409277734
13.099999999982808,799.8204375703165,4985.3675874258015
13.199999999982575,806.8155694029076,5065.699629250176
13.299999999982342,813.823680586704,5146.731834114555
13.399999999982109,820.8447419569187,5228.465498500004
13.499999999981876,827.8787236654543,5310.901915937014
13.599999999981643,834.9255951746154,5394.04237693677
13.69999999998141,841.9853252507675,5477.888168921917
13.799999999981177,849.0578819579838,5562.440576156636
13.899999999980944,856.1432326516428,5647.700879676108
13.99999999998071,863.2413439720093,5733.6703572153265
14.099999999980477,870.3521818377629,5820.350283137193
14.199999999980244,877.4757114395254,5907.741928360157
14.299999999980011,884.61189723332,5995.84656028497
14.399999999979778,891.7607029340335,6084.665442720991
14.499999999979545,898.9220915088254,6174.199835811665
14.599999999979312,906.0960251705077,6264.45099595947
14.69999999997908,913.2824653709166,6355.42017575014
14.799999999978846,920.4813727942199,6447.108623876198
14.899999999978613,927.6927073502168,6539.517585059903
14.99999999997838,934.9164281676085,6632.6482999754735
15.099999999978147,942.1524935872229,6726.502005170582
15.199999999977914,949.4008611552324,6821.079932987293
15.29999999997768,956.6614876163225,6916.383311482209
15.399999999977448,963.9343289068449,7012.413364346037
15.499999999977215,971.2193401479274,7109.171310822339
15.599999999976982,978.5164756385898,7206.658365625727
15.699999999976749,985.8256888487863,7304.875738859287
15.799999999976515,993.1469324124558,7403.824635931259
15.899999999976282,1000.4801581205257,7503.506257471197
15.99999999997605,1007.8253169139024,7603.921799245265
16.099999999975818,1015.1823588764184,7705.072452070809
16.199999999975585,1022.5512332277854,7806.959401730492
16.299999999975352,1029.9318883164817,7909.583828885271
16.39999999997512,1037.3242716126463,8012.946908987116
16.499999999974886,1044.728329700927,8117.049812190793
16.599999999974653,1052.1440082733213,8221.893703264825
16.69999999997442,1059.5712521219887,8327.479741502004
16.799999999974187,1067.010005132035,8433.809080629
16.899999999973954,1074.4602102742685,8540.882868715289
16.99999999997372,1081.9218095979516,8648.702248081365
